Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Captain's name
8603,NS do Monte do Carmo e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1728,,"Almeida, Manoel Pereira de"
8604,NS do Socorro S Antônio e Almas,Rio de Janeiro,Luanda,"Bahia, port unspecified",1728,,"Ribeiro, João Dias<br/> Miel, José"
8605,Rainha Santa e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1728,816,"Neto, Antônio"
8606,S Pedro e S Paulo,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1728,,"Ribeiro, Antônio Rodrigues"
8607,NS da Piedade S Antônio e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1728,,"Azevedo, Antônio Gonçalves de"
8608,NS da Conceição e S João Batista,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1728,,"Andrade, Antônio Pereira"
8609,Bom Jesus de Bouças S Antônio e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1728,,"Macia, João de Figueira"
8610,NS da Encarnação e Menino Jesus,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1728,,"Porto, João Luís"
8611,Jesus Maria José,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1728,,
8612,Bom Jesus e S Miguel,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1728,,"Ferreira, Manoel Martins"
8613,S Inácio e S Francisco Xavier,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1728,,"Silva, Manoel Fernandes"
8614,NS do Vale e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1728,,"Quaresma, José"
8615,NS da Piedade e S Cruz,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1728,,"Pereira, José da Cunha"
8616,NS da Lembrança e S Caetano,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1728,522,"Calheiros, Luís Álvares"
8617,NS do Monte do Carmo e Santana,Rio de Janeiro,Luanda,Rio de Janeiro,1728,,"Antão, Caetano Lopes<br/> Silva, Henriques da"
8618,S Antônio Santana e Almas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1728,,"Costa, Manoel Gonçalves"
8619,NS Mãe de Deus e S Bernardo,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1729,418,"Vale, Francisco da Silva"
8620,Jesus Maria José,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1731,,"Ferreira, Antônio Delgado"
8621,NS do Pilar e S José (a) Todos os Santos,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1731,213,"Rodrigues, Jacinto"
8622,Rainha dos Anjos S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1731,828,"Costa, Luís Martins da"
8623,NS do Monte do Carmo e S Elias,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1731,,"Neto, Antônio"
8624,NS da Glória S Antônio e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1731,,"Ferreira, Duarte"
8625,NS do Rosario e S Luís,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1731,,"Pereira, João"
8626,NS do Rosario S Antônio e Almas,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1731,270,"Henriques, Francisco de Freitas"
8627,NS Mãe de Deus e S Bernardo,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1731,138,"Golega, Antônio Gonçalves"
8628,NS do Rosario e S Domingos,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1731,441,"Gomes, Alexandre Francisco"
8629,S Antônio de Lisboa,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1731,,"Franco, Manoel Farinha"
8630,NS da Conceição e Livramento,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1731,236,"Vieira, Paulo"
8631,NS da Lembrança e S Caetano,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1731,,"Guedes, Pedro de Souza"
8632,Bom Jesus de Bouças S Antônio e Almas,Rio de Janeiro,Luanda,"Bahia, port unspecified",1731,275,"Maciel, João de Figueiredo"
8633,Bom Jesus de Bouças NS da Apresentação e S Antônio,Rio de Janeiro,Luanda,Rio de Janeiro,1731,,"Lisboa, Antônio Madureira"
8634,NS de Nazaré e S Cristo,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1731,,"Mores Pinto, José de"
8635,NS da Mãe de Deus e Bom Jesus dos Panos,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1731,,"Pracera, Manoel Francisco"
8636,NS das Ilhas e S Antônio e Almas,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1734,,"Santos, Gaspar dos"
8637,Jesus Maria José e Familia Sacra,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1734,361,"Santos, Francisco João dos"
8638,Santana e S Joaquim,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1734,186,"Coelho, Antônio Ferreira"
